indice,asignatura,cod_asignatura,cod_plan,curso_aca,id,cod_tipologia,plan,tipologia,universidad,cod_universidad
1226,Sistemas Electrónicos Digitales,SISTEMASELECTRÓNICOSDIGITALES4542,Máster-Universitario-en-Ingeniería-Informática,2019/2020,URnOd#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1227,Prácticas Externas,PRÁCTICASEXTERNAS3268,Máster-Universitario-en-Ingeniería-Informática,2019/2020,URnOd#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1228,Prácticas Clinicas III,PRÁCTICASCLINICASIII4061,Máster-Universitario-en-Ingeniería-Informática,2019/2020,URnOd#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1229,Fundamentos de Ingeniería Eléctrica,FUNDAMENTOSDEINGENIERÍAELÉCTRICA2453,Máster-Universitario-en-Ingeniería-Informática,2019/2020,URnOd#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1230,Álgebra Lineal,ÁLGEBRALINEAL9312,Grado-en-Matemáticas-Aplicadas,2017/2018,MwvjD#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1231,Cálculo Diferencial,CÁLCULODIFERENCIAL9671,Grado-en-Matemáticas-Aplicadas,2017/2018,MwvjD#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1232,Probabilidad y Estadística,PROBABILIDADYESTADÍSTICA8723,Grado-en-Matemáticas-Aplicadas,2017/2018,MwvjD#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1233,Optimización,OPTIMIZACIÓN7854,Grado-en-Matemáticas-Aplicadas,2017/2018,MwvjD#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1234,Análisis Numérico,ANÁLISISNUMÉRICO9365,Grado-en-Matemáticas-Aplicadas,2017/2018,MwvjD#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1235,Gestión de Proyectos Informáticos,GESTIÓNDEPROYECTOSINFORMÁTICOS3912,Máster-Universitario-en-Ingeniería-Informática,2017/2018,ofuWZ#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1236,Sistemas y Tecnologías Web Servidor,SISTEMASYTECNOLOGÍASWEBSERVIDOR8293,Máster-Universitario-en-Ingeniería-Informática,2017/2018,ofuWZ#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1237,Sistemas y Tecnologías Despliegue y Mantenimiento,SISTEMASYTECNOLOGÍASDESPLIEGUEYMANTENIMIENTO7012,Máster-Universitario-en-Ingeniería-Informática,2017/2018,ofuWZ#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1238,Farmacología y Diétitica,FARMACOLOGÍAYDIÉTITICA8611,Máster-Universitario-en-Ingeniería-Informática,2017/2018,ofuWZ#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1239,Procesos Psicosociales,PROCESOSPSICOSOCIALES5622,Máster-Universitario-en-Ingeniería-Informática,2017/2018,ofuWZ#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1240,Educación para la Salud,EDUCACIÓNPARALASALUD4209,Grado-en-Ingeniería-Informática,2019/2020,iuKzi#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1241,Enfermería en Quirófano,ENFERMERÍAENQUIRÓFANO6751,Grado-en-Ingeniería-Informática,2019/2020,iuKzi#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1242,Redes y Sistemas Distribuidos,REDESYSISTEMASDISTRIBUIDOS3378,Grado-en-Ingeniería-Informática,2019/2020,iuKzi#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1243,Sistemas Electrónicos Digitales,SISTEMASELECTRÓNICOSDIGITALES1858,Grado-en-Ingeniería-Informática,2019/2020,iuKzi#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1244,Robótica Computacional,ROBÓTICACOMPUTACIONAL8596,Grado-en-Ingeniería-Informática,2019/2020,iuKzi#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1245,Fundamentos Físicos,FUNDAMENTOSFÍSICOS5608,Máster-Universitario-en-Ingeniería-Informática,2019/2020,TRuJM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1246,Computación en la Nube,COMPUTACIÓNENLANUBE7637,Máster-Universitario-en-Ingeniería-Informática,2019/2020,TRuJM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1247,Gestión de Comunicación y Conocimiento Empresarial,GESTIÓNDECOMUNICACIÓNYCONOCIMIENTOEMPRESARIAL5236,Máster-Universitario-en-Ingeniería-Informática,2019/2020,TRuJM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1248,Sistemas y Técnologías Web Arquitectura,SISTEMASYTÉCNOLOGÍASWEBARQUITECTURA8107,Máster-Universitario-en-Ingeniería-Informática,2019/2020,TRuJM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1249,Organización y Gestión de Proyectos,ORGANIZACIÓNYGESTIÓNDEPROYECTOS3125,Máster-Universitario-en-Ingeniería-Informática,2019/2020,TRuJM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1250,Electromagnetismo,ELECTROMAGNETISMO2073,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,PFFcR#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1251,Teoría de la Señal,TEORÍADELASEÑAL4019,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,PFFcR#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1252,Sistemas Digitales,SISTEMASDIGITALES1538,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,PFFcR#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1253,Comunicaciones Ópticas,COMUNICACIONESÓPTICAS1174,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,PFFcR#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1254,Redes de Telecomunicaciones,REDESDETELECOMUNICACIONES9399,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,PFFcR#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1255,Dirección y Gestión de Proyectos,DIRECCIÓNYGESTIÓNDEPROYECTOS6714,Grado-en-Ingeniería-Electrónica,2021/2022,FXxXy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1256,Modelado de Sistemas Software,MODELADODESISTEMASSOFTWARE6942,Grado-en-Ingeniería-Electrónica,2021/2022,FXxXy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1257,Automatización Industrial Avanzada,AUTOMATIZACIÓNINDUSTRIALAVANZADA3837,Grado-en-Ingeniería-Electrónica,2021/2022,FXxXy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1258,Tecnología de Procesos de Fabricación,TECNOLOGÍADEPROCESOSDEFABRICACIÓN6648,Grado-en-Ingeniería-Electrónica,2021/2022,FXxXy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1259,Informática Industrial,INFORMÁTICAINDUSTRIAL8509,Grado-en-Ingeniería-Electrónica,2021/2022,FXxXy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1260,Procesos Psicosociales,PROCESOSPSICOSOCIALES3148,Grado-en-Enfermería,2021/2022,zKsqL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1261,Lenguajes y Paradigmas de Programación,LENGUAJESYPARADIGMASDEPROGRAMACIÓN5970,Grado-en-Enfermería,2021/2022,zKsqL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1262,Educación para la Salud,EDUCACIÓNPARALASALUD5113,Grado-en-Enfermería,2021/2022,zKsqL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1263,Enfermería Comunitaria,ENFERMERÍACOMUNITARIA7677,Grado-en-Enfermería,2021/2022,zKsqL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1264,Enfermería de la Infancia y Adolescencia,ENFERMERÍADELAINFANCIAYADOLESCENCIA2254,Grado-en-Enfermería,2021/2022,zKsqL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1265,Electromagnetismo,ELECTROMAGNETISMO9425,Grado-en-Ingeniería-de-Telecomunicaciones,2020/2021,TfmLL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1266,Teoría de la Señal,TEORÍADELASEÑAL1615,Grado-en-Ingeniería-de-Telecomunicaciones,2020/2021,TfmLL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1267,Sistemas Digitales,SISTEMASDIGITALES2969,Grado-en-Ingeniería-de-Telecomunicaciones,2020/2021,TfmLL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1268,Comunicaciones Ópticas,COMUNICACIONESÓPTICAS5569,Grado-en-Ingeniería-de-Telecomunicaciones,2020/2021,TfmLL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1269,Redes de Telecomunicaciones,REDESDETELECOMUNICACIONES1669,Grado-en-Ingeniería-de-Telecomunicaciones,2020/2021,TfmLL#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1270,Fundamentos Matemáticos,FUNDAMENTOSMATEMÁTICOS8689,Grado-en-Ingeniería-Electrónica,2019/2020,nlPgG#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1271,Expresión Gráfica para la Ingeniería,EXPRESIÓNGRÁFICAPARALAINGENIERÍA4318,Grado-en-Ingeniería-Electrónica,2019/2020,nlPgG#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1272,Estructuras de Computadores,ESTRUCTURASDECOMPUTADORES6068,Grado-en-Ingeniería-Electrónica,2019/2020,nlPgG#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1273,Prácticas Clinicas I,PRÁCTICASCLINICASI4663,Grado-en-Ingeniería-Electrónica,2019/2020,nlPgG#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1274,Sistemas de Comunicación,SISTEMASDECOMUNICACIÓN9691,Grado-en-Ingeniería-Electrónica,2019/2020,nlPgG#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1275,Electromagnetismo,ELECTROMAGNETISMO6691,Grado-en-Ingeniería-de-Telecomunicaciones,2017/2018,NlVrS#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1276,Teoría de la Señal,TEORÍADELASEÑAL1367,Grado-en-Ingeniería-de-Telecomunicaciones,2017/2018,NlVrS#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1277,Sistemas Digitales,SISTEMASDIGITALES9040,Grado-en-Ingeniería-de-Telecomunicaciones,2017/2018,NlVrS#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1278,Comunicaciones Ópticas,COMUNICACIONESÓPTICAS2313,Grado-en-Ingeniería-de-Telecomunicaciones,2017/2018,NlVrS#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1279,Redes de Telecomunicaciones,REDESDETELECOMUNICACIONES4052,Grado-en-Ingeniería-de-Telecomunicaciones,2017/2018,NlVrS#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1280,Electromagnetismo,ELECTROMAGNETISMO4099,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,ERDRK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1281,Teoría de la Señal,TEORÍADELASEÑAL8161,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,ERDRK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1282,Sistemas Digitales,SISTEMASDIGITALES7076,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,ERDRK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1283,Comunicaciones Ópticas,COMUNICACIONESÓPTICAS3137,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,ERDRK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1284,Redes de Telecomunicaciones,REDESDETELECOMUNICACIONES9916,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,ERDRK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1285,Enfermería en Quirófano,ENFERMERÍAENQUIRÓFANO6574,Grado-en-Ingeniería-Electrónica,2020/2021,ixKUh#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1286,Sistemas y Tecnologías Web Servidor,SISTEMASYTECNOLOGÍASWEBSERVIDOR2725,Grado-en-Ingeniería-Electrónica,2020/2021,ixKUh#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1287,Investigación y Enfermería,INVESTIGACIÓNYENFERMERÍA3084,Grado-en-Ingeniería-Electrónica,2020/2021,ixKUh#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1288,Inglés para la Salud,INGLÉSPARALASALUD7421,Grado-en-Ingeniería-Electrónica,2020/2021,ixKUh#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1289,Física 1,FÍSICA13929,Grado-en-Ingeniería-Electrónica,2020/2021,ixKUh#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1290,Gestión de Proyectos Informáticos,GESTIÓNDEPROYECTOSINFORMÁTICOS7220,Grado-en-Enfermería,2017/2018,LQrFj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1291,Fundamentos Matemáticos,FUNDAMENTOSMATEMÁTICOS5319,Grado-en-Enfermería,2017/2018,LQrFj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1292,Código Deontológico y Aspectos Legales,CÓDIGODEONTOLÓGICOYASPECTOSLEGALES3993,Grado-en-Enfermería,2017/2018,LQrFj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1293,Prácticas Clinicas I,PRÁCTICASCLINICASI4607,Grado-en-Enfermería,2017/2018,LQrFj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1294,Enfermería Clinica II,ENFERMERÍACLINICAII4368,Grado-en-Enfermería,2017/2018,LQrFj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1295,Anatomía Humana e Histología,ANATOMÍAHUMANAEHISTOLOGÍA4910,Grado-en-Ingeniería-Informática,2022/2023,ZhivN#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1296,Farmacología y Diétitica,FARMACOLOGÍAYDIÉTITICA7025,Grado-en-Ingeniería-Informática,2022/2023,ZhivN#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1297,Optimización,OPTIMIZACIÓN4648,Grado-en-Ingeniería-Informática,2022/2023,ZhivN#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1298,Sistemas y Técnologías Web Arquitectura,SISTEMASYTÉCNOLOGÍASWEBARQUITECTURA1178,Grado-en-Ingeniería-Informática,2022/2023,ZhivN#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1299,Inteligencia Emocional,INTELIGENCIAEMOCIONAL5907,Grado-en-Ingeniería-Informática,2022/2023,ZhivN#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1300,Sistema Electrónicos Digitales,SISTEMAELECTRÓNICOSDIGITALES5918,Grado-en-Enfermería,2020/2021,CkybF#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1301,Algoritmos y Estructuras de Datos,ALGORITMOSYESTRUCTURASDEDATOS7908,Grado-en-Enfermería,2020/2021,CkybF#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1302,Ampliación de Ingeniería Eléctrica,AMPLIACIÓNDEINGENIERÍAELÉCTRICA2189,Grado-en-Enfermería,2020/2021,CkybF#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1303,Bases Teóricas y Metodológicas de la Enfermería,BASESTEÓRICASYMETODOLÓGICASDELAENFERMERÍA1280,Grado-en-Enfermería,2020/2021,CkybF#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1304,Fundamentos Matemáticos,FUNDAMENTOSMATEMÁTICOS5090,Grado-en-Enfermería,2020/2021,CkybF#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1305,Fundamentos Físicos para la Ingeniería,FUNDAMENTOSFÍSICOSPARALAINGENIERÍA4497,Grado-en-Ingeniería-Informática,2020/2021,pPeNK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1306,Prácticas Clínicas II,PRÁCTICASCLÍNICASII4968,Grado-en-Ingeniería-Informática,2020/2021,pPeNK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1307,Análisis de Sistemas Software,ANÁLISISDESISTEMASSOFTWARE9126,Grado-en-Ingeniería-Informática,2020/2021,pPeNK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1308,Redes y Sistemas Distribuidos,REDESYSISTEMASDISTRIBUIDOS8538,Grado-en-Ingeniería-Informática,2020/2021,pPeNK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1309,Informática Industrial,INFORMÁTICAINDUSTRIAL6875,Grado-en-Ingeniería-Informática,2020/2021,pPeNK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1310,Bases de Datos,BASESDEDATOS4283,Grado-en-Ingeniería-Electrónica,2022/2023,uwhIO#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1311,Prácticas Externas,PRÁCTICASEXTERNAS2433,Grado-en-Ingeniería-Electrónica,2022/2023,uwhIO#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1312,Fundamentos Físicos,FUNDAMENTOSFÍSICOS4529,Grado-en-Ingeniería-Electrónica,2022/2023,uwhIO#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1313,Inglés para la Salud,INGLÉSPARALASALUD4514,Grado-en-Ingeniería-Electrónica,2022/2023,uwhIO#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1314,Organizaciones Empresariales,ORGANIZACIONESEMPRESARIALES9539,Grado-en-Ingeniería-Electrónica,2022/2023,uwhIO#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1315,Enfermería Clinica Avanzada I,ENFERMERÍACLINICAAVANZADAI5624,Grado-en-Ingeniería-Informática,2021/2022,pKGyk#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1316,Modelado de Sistemas Software,MODELADODESISTEMASSOFTWARE2590,Grado-en-Ingeniería-Informática,2021/2022,pKGyk#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1317,Organización y Gestión Empresarial,ORGANIZACIÓNYGESTIÓNEMPRESARIAL2277,Grado-en-Ingeniería-Informática,2021/2022,pKGyk#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1318,Farmacología y Diétitica,FARMACOLOGÍAYDIÉTITICA8570,Grado-en-Ingeniería-Informática,2021/2022,pKGyk#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1319,Sistema Electrónicos Digitales,SISTEMAELECTRÓNICOSDIGITALES8833,Grado-en-Ingeniería-Informática,2021/2022,pKGyk#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1320,Enfermería Comunitaria,ENFERMERÍACOMUNITARIA8654,Grado-en-Ingeniería-Informática,2019/2020,nGHhW#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1321,Álgebra,ÁLGEBRA7918,Grado-en-Ingeniería-Informática,2019/2020,nGHhW#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1322,Sistemas y Tecnologías Despliegue y Mantenimiento,SISTEMASYTECNOLOGÍASDESPLIEGUEYMANTENIMIENTO2327,Grado-en-Ingeniería-Informática,2019/2020,nGHhW#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1323,Inteligencia Artificial,INTELIGENCIAARTIFICIAL2284,Grado-en-Ingeniería-Informática,2019/2020,nGHhW#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1324,Gestión de Proyectos Informáticos,GESTIÓNDEPROYECTOSINFORMÁTICOS8941,Grado-en-Ingeniería-Informática,2019/2020,nGHhW#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1325,Álgebra Lineal,ÁLGEBRALINEAL8343,Grado-en-Matemáticas-Aplicadas,2017/2018,tJIEK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1326,Cálculo Diferencial,CÁLCULODIFERENCIAL2829,Grado-en-Matemáticas-Aplicadas,2017/2018,tJIEK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1327,Probabilidad y Estadística,PROBABILIDADYESTADÍSTICA2838,Grado-en-Matemáticas-Aplicadas,2017/2018,tJIEK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1328,Optimización,OPTIMIZACIÓN5758,Grado-en-Matemáticas-Aplicadas,2017/2018,tJIEK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1329,Análisis Numérico,ANÁLISISNUMÉRICO6914,Grado-en-Matemáticas-Aplicadas,2017/2018,tJIEK#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1330,Prácticas Clinicas III,PRÁCTICASCLINICASIII1393,Grado-en-Ingeniería-Electrónica,2018/2019,vUsEo#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1331,Sistema Electrónicos Digitales,SISTEMAELECTRÓNICOSDIGITALES5238,Grado-en-Ingeniería-Electrónica,2018/2019,vUsEo#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1332,Fisíca 2,FISÍCA26528,Grado-en-Ingeniería-Electrónica,2018/2019,vUsEo#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1333,Ingeniería Logística,INGENIERÍALOGÍSTICA6867,Grado-en-Ingeniería-Electrónica,2018/2019,vUsEo#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1334,Sistemas y Técnologías Web Arquitectura,SISTEMASYTÉCNOLOGÍASWEBARQUITECTURA4849,Grado-en-Ingeniería-Electrónica,2018/2019,vUsEo#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1335,Fundamentos de Ingeniería Eléctrica,FUNDAMENTOSDEINGENIERÍAELÉCTRICA6531,Máster-Universitario-en-Ingeniería-Informática,2022/2023,FNEyy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1336,Código Deontológico y Aspectos Legales,CÓDIGODEONTOLÓGICOYASPECTOSLEGALES6594,Máster-Universitario-en-Ingeniería-Informática,2022/2023,FNEyy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1337,Ingeniería Logística,INGENIERÍALOGÍSTICA2163,Máster-Universitario-en-Ingeniería-Informática,2022/2023,FNEyy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1338,Visión por Computador,VISIÓNPORCOMPUTADOR7939,Máster-Universitario-en-Ingeniería-Informática,2022/2023,FNEyy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1339,Expresión Gráfica para la Ingeniería,EXPRESIÓNGRÁFICAPARALAINGENIERÍA1716,Máster-Universitario-en-Ingeniería-Informática,2022/2023,FNEyy#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1340,Álgebra Lineal,ÁLGEBRALINEAL5265,Grado-en-Matemáticas-Aplicadas,2018/2019,CpqiM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1341,Cálculo Diferencial,CÁLCULODIFERENCIAL6423,Grado-en-Matemáticas-Aplicadas,2018/2019,CpqiM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1342,Probabilidad y Estadística,PROBABILIDADYESTADÍSTICA4388,Grado-en-Matemáticas-Aplicadas,2018/2019,CpqiM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1343,Optimización,OPTIMIZACIÓN3823,Grado-en-Matemáticas-Aplicadas,2018/2019,CpqiM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1344,Análisis Numérico,ANÁLISISNUMÉRICO4499,Grado-en-Matemáticas-Aplicadas,2018/2019,CpqiM#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1345,Electromagnetismo,ELECTROMAGNETISMO7433,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,kEXcc#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1346,Teoría de la Señal,TEORÍADELASEÑAL9637,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,kEXcc#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1347,Sistemas Digitales,SISTEMASDIGITALES4978,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,kEXcc#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1348,Comunicaciones Ópticas,COMUNICACIONESÓPTICAS2690,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,kEXcc#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1349,Redes de Telecomunicaciones,REDESDETELECOMUNICACIONES1423,Grado-en-Ingeniería-de-Telecomunicaciones,2018/2019,kEXcc#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1350,Proyectos de Instalaciones,PROYECTOSDEINSTALACIONES3489,Grado-en-Ingeniería-Informática,2020/2021,QWBkj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1351,Ingeniería de Control,INGENIERÍADECONTROL9603,Grado-en-Ingeniería-Informática,2020/2021,QWBkj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1352,Métodos Estadísticos,MÉTODOSESTADÍSTICOS5835,Grado-en-Ingeniería-Informática,2020/2021,QWBkj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1353,Prácticas Clinicas I,PRÁCTICASCLINICASI7417,Grado-en-Ingeniería-Informática,2020/2021,QWBkj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1354,Redes y Sistemas Distribuidos,REDESYSISTEMASDISTRIBUIDOS1478,Grado-en-Ingeniería-Informática,2020/2021,QWBkj#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1355,Álgebra Lineal,ÁLGEBRALINEAL2313,Grado-en-Matemáticas-Aplicadas,2020/2021,EOKwE#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1356,Cálculo Diferencial,CÁLCULODIFERENCIAL5557,Grado-en-Matemáticas-Aplicadas,2020/2021,EOKwE#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1357,Probabilidad y Estadística,PROBABILIDADYESTADÍSTICA8971,Grado-en-Matemáticas-Aplicadas,2020/2021,EOKwE#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1358,Optimización,OPTIMIZACIÓN7482,Grado-en-Matemáticas-Aplicadas,2020/2021,EOKwE#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1359,Análisis Numérico,ANÁLISISNUMÉRICO4921,Grado-en-Matemáticas-Aplicadas,2020/2021,EOKwE#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
1360,Electromagnetismo,ELECTROMAGNETISMO7917,Grado-en-Ingeniería-de-Telecomunicaciones,2021/2022,AtJyU#####,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
