indice,asignatura,calif_numerica,calif,cod_asig,cod_plan,conv,curso_aca,id,plan,universidad,cod_universidad
1735,Álgebra Lineal,3.23,No presentado,ÁLGEBRALINEAL2065,Grado-en-Matemáticas-Aplicadas,Junio,2019/2020,Uoarj#####,Plan 2018,Universidad de la Laguna,ULL015
1736,Cálculo Diferencial,9.26,Aprobado,CÁLCULODIFERENCIAL4421,Grado-en-Matemáticas-Aplicadas,Junio,2019/2020,Uoarj#####,Plan 2018,Universidad de la Laguna,ULL015
1737,Probabilidad y Estadística,3.38,No presentado,PROBABILIDADYESTADÍSTICA4931,Grado-en-Matemáticas-Aplicadas,Julio,2019/2020,Uoarj#####,Plan 2018,Universidad de la Laguna,ULL015
1738,Optimización,4.14,Suspenso,OPTIMIZACIÓN5529,Grado-en-Matemáticas-Aplicadas,Junio,2019/2020,Uoarj#####,Plan 2018,Universidad de la Laguna,ULL015
1739,Análisis Numérico,5.95,Aprobado,ANÁLISISNUMÉRICO5594,Grado-en-Matemáticas-Aplicadas,Junio,2019/2020,Uoarj#####,Plan 2018,Universidad de la Laguna,ULL015
1740,Álgebra Lineal,1.15,No presentado,ÁLGEBRALINEAL2151,Grado-en-Matemáticas-Aplicadas,Julio,2018/2019,kICTf#####,Plan 2018,Universidad de la Laguna,ULL015
1741,Cálculo Diferencial,2.49,No presentado,CÁLCULODIFERENCIAL2288,Grado-en-Matemáticas-Aplicadas,Julio,2018/2019,kICTf#####,Plan 2018,Universidad de la Laguna,ULL015
1742,Probabilidad y Estadística,7.74,Aprobado,PROBABILIDADYESTADÍSTICA1943,Grado-en-Matemáticas-Aplicadas,Septiembre,2018/2019,kICTf#####,Plan 2018,Universidad de la Laguna,ULL015
1743,Optimización,5.43,Aprobado,OPTIMIZACIÓN3653,Grado-en-Matemáticas-Aplicadas,Julio,2018/2019,kICTf#####,Plan 2018,Universidad de la Laguna,ULL015
1744,Análisis Numérico,6.25,Aprobado,ANÁLISISNUMÉRICO2492,Grado-en-Matemáticas-Aplicadas,Julio,2018/2019,kICTf#####,Plan 2018,Universidad de la Laguna,ULL015
1745,Álgebra Lineal,6.17,Aprobado,ÁLGEBRALINEAL2996,Grado-en-Matemáticas-Aplicadas,Junio,2021/2022,WAMZG#####,Plan 2018,Universidad de la Laguna,ULL015
1746,Cálculo Diferencial,3.27,No presentado,CÁLCULODIFERENCIAL5581,Grado-en-Matemáticas-Aplicadas,Junio,2021/2022,WAMZG#####,Plan 2018,Universidad de la Laguna,ULL015
1747,Probabilidad y Estadística,7.03,Aprobado,PROBABILIDADYESTADÍSTICA1490,Grado-en-Matemáticas-Aplicadas,Septiembre,2021/2022,WAMZG#####,Plan 2018,Universidad de la Laguna,ULL015
1748,Optimización,2.01,No presentado,OPTIMIZACIÓN8543,Grado-en-Matemáticas-Aplicadas,Junio,2021/2022,WAMZG#####,Plan 2018,Universidad de la Laguna,ULL015
1749,Análisis Numérico,4.26,Suspenso,ANÁLISISNUMÉRICO2027,Grado-en-Matemáticas-Aplicadas,Julio,2021/2022,WAMZG#####,Plan 2018,Universidad de la Laguna,ULL015
1750,Álgebra Lineal,1.84,No presentado,ÁLGEBRALINEAL3700,Grado-en-Matemáticas-Aplicadas,Septiembre,2022/2023,rVHho#####,Plan 2018,Universidad de la Laguna,ULL015
1751,Cálculo Diferencial,1.26,No presentado,CÁLCULODIFERENCIAL8126,Grado-en-Matemáticas-Aplicadas,Junio,2022/2023,rVHho#####,Plan 2018,Universidad de la Laguna,ULL015
1752,Probabilidad y Estadística,4.27,Suspenso,PROBABILIDADYESTADÍSTICA5183,Grado-en-Matemáticas-Aplicadas,Julio,2022/2023,rVHho#####,Plan 2018,Universidad de la Laguna,ULL015
1753,Optimización,0.4,No presentado,OPTIMIZACIÓN6079,Grado-en-Matemáticas-Aplicadas,Junio,2022/2023,rVHho#####,Plan 2018,Universidad de la Laguna,ULL015
1754,Análisis Numérico,2.17,No presentado,ANÁLISISNUMÉRICO6940,Grado-en-Matemáticas-Aplicadas,Septiembre,2022/2023,rVHho#####,Plan 2018,Universidad de la Laguna,ULL015
1755,Informática Básica,7.87,Aprobado,INFORMÁTICABÁSICA6004,Grado-en-Ingeniería-Informática,Julio,2018/2019,rZeIC#####,Plan 2018,Universidad de la Laguna,ULL015
1756,Bases de Datos,0.8,No presentado,BASESDEDATOS6890,Grado-en-Ingeniería-Informática,Septiembre,2018/2019,rZeIC#####,Plan 2018,Universidad de la Laguna,ULL015
1757,Estadística,4.1,Suspenso,ESTADÍSTICA4357,Grado-en-Ingeniería-Informática,Septiembre,2018/2019,rZeIC#####,Plan 2018,Universidad de la Laguna,ULL015
1758,Gestión de Riesgos en Ingeniería del Software,9.25,Aprobado,GESTIÓNDERIESGOSENINGENIERÍADELSOFTWARE7871,Grado-en-Ingeniería-Informática,Julio,2018/2019,rZeIC#####,Plan 2018,Universidad de la Laguna,ULL015
1759,Inglés Aplicado para la Comunicación en Salud,6.39,Aprobado,INGLÉSAPLICADOPARALACOMUNICACIÓNENSALUD7070,Grado-en-Ingeniería-Informática,Junio,2018/2019,rZeIC#####,Plan 2018,Universidad de la Laguna,ULL015
1760,Álgebra Lineal,7.27,Aprobado,ÁLGEBRALINEAL4595,Grado-en-Matemáticas-Aplicadas,Septiembre,2019/2020,wChZB#####,Plan 2018,Universidad de la Laguna,ULL015
1761,Cálculo Diferencial,2.37,No presentado,CÁLCULODIFERENCIAL5685,Grado-en-Matemáticas-Aplicadas,Septiembre,2019/2020,wChZB#####,Plan 2018,Universidad de la Laguna,ULL015
1762,Probabilidad y Estadística,3.79,No presentado,PROBABILIDADYESTADÍSTICA2222,Grado-en-Matemáticas-Aplicadas,Septiembre,2019/2020,wChZB#####,Plan 2018,Universidad de la Laguna,ULL015
1763,Optimización,7.37,Aprobado,OPTIMIZACIÓN7574,Grado-en-Matemáticas-Aplicadas,Septiembre,2019/2020,wChZB#####,Plan 2018,Universidad de la Laguna,ULL015
1764,Análisis Numérico,1.26,No presentado,ANÁLISISNUMÉRICO4344,Grado-en-Matemáticas-Aplicadas,Junio,2019/2020,wChZB#####,Plan 2018,Universidad de la Laguna,ULL015
1765,Electromagnetismo,5.55,Aprobado,ELECTROMAGNETISMO9884,Grado-en-Ingeniería-de-Telecomunicaciones,Julio,2021/2022,bBrgX#####,Plan 2018,Universidad de la Laguna,ULL015
1766,Teoría de la Señal,1.71,No presentado,TEORÍADELASEÑAL3138,Grado-en-Ingeniería-de-Telecomunicaciones,Septiembre,2021/2022,bBrgX#####,Plan 2018,Universidad de la Laguna,ULL015
1767,Sistemas Digitales,8.23,Aprobado,SISTEMASDIGITALES9573,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2021/2022,bBrgX#####,Plan 2018,Universidad de la Laguna,ULL015
1768,Comunicaciones Ópticas,8.64,Aprobado,COMUNICACIONESÓPTICAS7636,Grado-en-Ingeniería-de-Telecomunicaciones,Septiembre,2021/2022,bBrgX#####,Plan 2018,Universidad de la Laguna,ULL015
1769,Redes de Telecomunicaciones,8.97,Aprobado,REDESDETELECOMUNICACIONES8938,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2021/2022,bBrgX#####,Plan 2018,Universidad de la Laguna,ULL015
1770,Informática,3.58,No presentado,INFORMÁTICA7043,Grado-en-Enfermería,Julio,2021/2022,BJLtf#####,Plan 2018,Universidad de la Laguna,ULL015
1771,Antropología y Bases Teóricas de la Enfermería,2.82,No presentado,ANTROPOLOGÍAYBASESTEÓRICASDELAENFERMERÍA4017,Grado-en-Enfermería,Julio,2021/2022,BJLtf#####,Plan 2018,Universidad de la Laguna,ULL015
1772,Fisiología y Fisiopatología,3.91,No presentado,FISIOLOGÍAYFISIOPATOLOGÍA6867,Grado-en-Enfermería,Septiembre,2021/2022,BJLtf#####,Plan 2018,Universidad de la Laguna,ULL015
1773,Informática Industrial,3.19,No presentado,INFORMÁTICAINDUSTRIAL5951,Grado-en-Enfermería,Septiembre,2021/2022,BJLtf#####,Plan 2018,Universidad de la Laguna,ULL015
1774,Tecnología de Procesos de Fabricación,4.68,Suspenso,TECNOLOGÍADEPROCESOSDEFABRICACIÓN3028,Grado-en-Enfermería,Septiembre,2021/2022,BJLtf#####,Plan 2018,Universidad de la Laguna,ULL015
1775,Inteligencia Emocional,2.57,No presentado,INTELIGENCIAEMOCIONAL5825,Máster-Universitario-en-Ingeniería-Informática,Julio,2021/2022,VlLYv#####,Plan 2018,Universidad de la Laguna,ULL015
1776,Administración y Diseño de Bases de Datos,1.14,No presentado,ADMINISTRACIÓNYDISEÑODEBASESDEDATOS3879,Máster-Universitario-en-Ingeniería-Informática,Junio,2021/2022,VlLYv#####,Plan 2018,Universidad de la Laguna,ULL015
1777,Estructuras de Computadores,5.41,Aprobado,ESTRUCTURASDECOMPUTADORES2256,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2021/2022,VlLYv#####,Plan 2018,Universidad de la Laguna,ULL015
1778,Inglés Técnico,3.66,No presentado,INGLÉSTÉCNICO5666,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2021/2022,VlLYv#####,Plan 2018,Universidad de la Laguna,ULL015
1779,Ingeniería de Control,2.35,No presentado,INGENIERÍADECONTROL1235,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2021/2022,VlLYv#####,Plan 2018,Universidad de la Laguna,ULL015
1780,Seguridad en Sistemas y Tecnologías Web,5.71,Aprobado,SEGURIDADENSISTEMASYTECNOLOGÍASWEB4433,Grado-en-Enfermería,Septiembre,2018/2019,nbQFG#####,Plan 2018,Universidad de la Laguna,ULL015
1781,Proyectos de Instalaciones,5.27,Aprobado,PROYECTOSDEINSTALACIONES3963,Grado-en-Enfermería,Junio,2018/2019,nbQFG#####,Plan 2018,Universidad de la Laguna,ULL015
1782,Enfermería Comunitaria,5.38,Aprobado,ENFERMERÍACOMUNITARIA7282,Grado-en-Enfermería,Septiembre,2018/2019,nbQFG#####,Plan 2018,Universidad de la Laguna,ULL015
1783,Fundamentos Físicos para la Ingeniería,5.98,Aprobado,FUNDAMENTOSFÍSICOSPARALAINGENIERÍA3188,Grado-en-Enfermería,Junio,2018/2019,nbQFG#####,Plan 2018,Universidad de la Laguna,ULL015
1784,Enfermería Clinica Avanzada I,3.07,No presentado,ENFERMERÍACLINICAAVANZADAI3099,Grado-en-Enfermería,Septiembre,2018/2019,nbQFG#####,Plan 2018,Universidad de la Laguna,ULL015
1785,Sistemas y Técnologías Web Arquitectura,5.78,Aprobado,SISTEMASYTÉCNOLOGÍASWEBARQUITECTURA6723,Grado-en-Ingeniería-Informática,Junio,2017/2018,cNjEj#####,Plan 2018,Universidad de la Laguna,ULL015
1786,Seguridad en Sistemas y Tecnologías Web,4.67,Suspenso,SEGURIDADENSISTEMASYTECNOLOGÍASWEB7620,Grado-en-Ingeniería-Informática,Junio,2017/2018,cNjEj#####,Plan 2018,Universidad de la Laguna,ULL015
1787,Electrónica de Potencia,4.67,Suspenso,ELECTRÓNICADEPOTENCIA6281,Grado-en-Ingeniería-Informática,Septiembre,2017/2018,cNjEj#####,Plan 2018,Universidad de la Laguna,ULL015
1788,Lenguajes y Paradigmas de Programación,7.06,Aprobado,LENGUAJESYPARADIGMASDEPROGRAMACIÓN3961,Grado-en-Ingeniería-Informática,Julio,2017/2018,cNjEj#####,Plan 2018,Universidad de la Laguna,ULL015
1789,Sistemas Robotizados,5.35,Aprobado,SISTEMASROBOTIZADOS6912,Grado-en-Ingeniería-Informática,Julio,2017/2018,cNjEj#####,Plan 2018,Universidad de la Laguna,ULL015
1790,Enfermería Clinica Avanzada I,2.71,No presentado,ENFERMERÍACLINICAAVANZADAI9655,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2017/2018,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1791,Administración y Diseño de Bases de Datos,2.2,No presentado,ADMINISTRACIÓNYDISEÑODEBASESDEDATOS5770,Máster-Universitario-en-Ingeniería-Informática,Junio,2017/2018,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1792,Investigación y Enfermería,2.84,No presentado,INVESTIGACIÓNYENFERMERÍA6922,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2017/2018,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1793,Cálculo,9.31,Aprobado,CÁLCULO5869,Máster-Universitario-en-Ingeniería-Informática,Junio,2017/2018,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1794,Informática Básica,4.88,Suspenso,INFORMÁTICABÁSICA7996,Máster-Universitario-en-Ingeniería-Informática,Junio,2017/2018,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1795,Ingeniería de Materiales,2.43,No presentado,INGENIERÍADEMATERIALES7000,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2018/2019,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1796,Prácticas Clínicas II,4.57,Suspenso,PRÁCTICASCLÍNICASII4146,Máster-Universitario-en-Ingeniería-Informática,Julio,2018/2019,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1797,Sistemas y Técnologías Web Arquitectura,9.88,Aprobado,SISTEMASYTÉCNOLOGÍASWEBARQUITECTURA4646,Máster-Universitario-en-Ingeniería-Informática,Junio,2018/2019,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1798,Sistemas y Tecnologías Web Servidor,4.4,Suspenso,SISTEMASYTECNOLOGÍASWEBSERVIDOR1553,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2018/2019,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1799,Inglés Aplicado para la Comunicación en Salud,5.67,Aprobado,INGLÉSAPLICADOPARALACOMUNICACIÓNENSALUD7731,Máster-Universitario-en-Ingeniería-Informática,Julio,2018/2019,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1800,Física Aplicada,5.49,Aprobado,FÍSICAAPLICADA5238,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2019/2020,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1801,Habilidades Interpersonales y Comunicación,5.5,Aprobado,HABILIDADESINTERPERSONALESYCOMUNICACIÓN2054,Máster-Universitario-en-Ingeniería-Informática,Julio,2019/2020,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1802,Fundamentos Físicos para la Ingeniería,0.87,No presentado,FUNDAMENTOSFÍSICOSPARALAINGENIERÍA3666,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2019/2020,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1803,Investigación y Enfermería,0.78,No presentado,INVESTIGACIÓNYENFERMERÍA6067,Máster-Universitario-en-Ingeniería-Informática,Septiembre,2019/2020,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1804,Elasticidad y Resistencia de Materiales,3.03,No presentado,ELASTICIDADYRESISTENCIADEMATERIALES5238,Máster-Universitario-en-Ingeniería-Informática,Julio,2019/2020,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1805,Métodos Estadísticos,7.51,Aprobado,MÉTODOSESTADÍSTICOS6435,Máster-Universitario-en-Ingeniería-Informática,Julio,2020/2021,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1806,Proyectos de Instalaciones,5.81,Aprobado,PROYECTOSDEINSTALACIONES7460,Máster-Universitario-en-Ingeniería-Informática,Julio,2020/2021,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1807,Bases de Datos,4.45,Suspenso,BASESDEDATOS1116,Máster-Universitario-en-Ingeniería-Informática,Julio,2020/2021,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1808,Sistemas y Tecnologías Web Cliente,2.27,No presentado,SISTEMASYTECNOLOGÍASWEBCLIENTE9801,Máster-Universitario-en-Ingeniería-Informática,Junio,2020/2021,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1809,Inglés para la Salud,7.25,Aprobado,INGLÉSPARALASALUD4030,Máster-Universitario-en-Ingeniería-Informática,Junio,2020/2021,xDOXg#####,Plan 2018,Universidad de la Laguna,ULL015
1810,Seguridad en Sistemas y Tecnologías Web,9.18,Aprobado,SEGURIDADENSISTEMASYTECNOLOGÍASWEB8900,Grado-en-Enfermería,Julio,2017/2018,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1811,Enfermería Clinica Avanzada I,1.47,No presentado,ENFERMERÍACLINICAAVANZADAI3303,Grado-en-Enfermería,Junio,2017/2018,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1812,Prácticas Externas,4.79,Suspenso,PRÁCTICASEXTERNAS8029,Grado-en-Enfermería,Septiembre,2017/2018,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1813,Electrónica de Potencia,6.34,Aprobado,ELECTRÓNICADEPOTENCIA7956,Grado-en-Enfermería,Septiembre,2017/2018,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1814,Prácticas Clínicas II,6.12,Aprobado,PRÁCTICASCLÍNICASII3004,Grado-en-Enfermería,Julio,2017/2018,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1815,Inglés para la Salud,6.34,Aprobado,INGLÉSPARALASALUD4417,Grado-en-Enfermería,Junio,2018/2019,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1816,Educación para la Salud,6.33,Aprobado,EDUCACIÓNPARALASALUD7111,Grado-en-Enfermería,Julio,2018/2019,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1817,Enfermería Clinica II,4.16,Suspenso,ENFERMERÍACLINICAII9561,Grado-en-Enfermería,Septiembre,2018/2019,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1818,Enfermería en Quirófano,3.95,No presentado,ENFERMERÍAENQUIRÓFANO5764,Grado-en-Enfermería,Septiembre,2018/2019,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1819,Computación en la Nube,1.56,No presentado,COMPUTACIÓNENLANUBE6471,Grado-en-Enfermería,Septiembre,2018/2019,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1820,Inglés Técnico,4.25,Suspenso,INGLÉSTÉCNICO9269,Grado-en-Enfermería,Julio,2019/2020,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1821,Inteligencia Emocional,3.64,No presentado,INTELIGENCIAEMOCIONAL3791,Grado-en-Enfermería,Septiembre,2019/2020,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1822,Organización y Gestión Empresarial,2.01,No presentado,ORGANIZACIÓNYGESTIÓNEMPRESARIAL1594,Grado-en-Enfermería,Julio,2019/2020,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1823,Sistemas y Tecnologías Despliegue y Mantenimiento,1.58,No presentado,SISTEMASYTECNOLOGÍASDESPLIEGUEYMANTENIMIENTO2359,Grado-en-Enfermería,Septiembre,2019/2020,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1824,Algoritmos y Estructuras de Datos,7.2,Aprobado,ALGORITMOSYESTRUCTURASDEDATOS8288,Grado-en-Enfermería,Julio,2019/2020,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1825,Trabajo de Fin de Máster,3.49,No presentado,TRABAJODEFINDEMÁSTER2863,Grado-en-Enfermería,Julio,2020/2021,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1826,Ingeniería de Materiales,0.61,No presentado,INGENIERÍADEMATERIALES2335,Grado-en-Enfermería,Septiembre,2020/2021,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1827,Bases Teóricas y Metodológicas de la Enfermería,6.8,Aprobado,BASESTEÓRICASYMETODOLÓGICASDELAENFERMERÍA4525,Grado-en-Enfermería,Septiembre,2020/2021,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1828,Sistemas Electrónicos Digitales,4.01,Suspenso,SISTEMASELECTRÓNICOSDIGITALES3894,Grado-en-Enfermería,Junio,2020/2021,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1829,Ciencias Psicosociales Aplicadas,7.02,Aprobado,CIENCIASPSICOSOCIALESAPLICADAS5299,Grado-en-Enfermería,Julio,2020/2021,ZUhbt#####,Plan 2018,Universidad de la Laguna,ULL015
1830,Instrumentación Electrónica,2.52,No presentado,INSTRUMENTACIÓNELECTRÓNICA6416,Grado-en-Ingeniería-Electrónica,Septiembre,2017/2018,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1831,Modelado de Datos,9.03,Aprobado,MODELADODEDATOS5355,Grado-en-Ingeniería-Electrónica,Septiembre,2017/2018,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1832,Algoritmos y Estructuras de Datos,6.32,Aprobado,ALGORITMOSYESTRUCTURASDEDATOS7753,Grado-en-Ingeniería-Electrónica,Julio,2017/2018,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1833,Normativa y Regulación,8.8,Aprobado,NORMATIVAYREGULACIÓN8796,Grado-en-Ingeniería-Electrónica,Junio,2017/2018,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1834,Electrónica de Potencia,5.63,Aprobado,ELECTRÓNICADEPOTENCIA1750,Grado-en-Ingeniería-Electrónica,Julio,2017/2018,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1835,Gestión de Proyectos Informáticos,9.82,Aprobado,GESTIÓNDEPROYECTOSINFORMÁTICOS6539,Grado-en-Ingeniería-Electrónica,Junio,2018/2019,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1836,Elasticidad y Resistencia de Materiales,4.96,Suspenso,ELASTICIDADYRESISTENCIADEMATERIALES5757,Grado-en-Ingeniería-Electrónica,Septiembre,2018/2019,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1837,Enfermería de la Infancia y Adolescencia,5.07,Aprobado,ENFERMERÍADELAINFANCIAYADOLESCENCIA6986,Grado-en-Ingeniería-Electrónica,Junio,2018/2019,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1838,Prácticas Clinicas I,1.09,No presentado,PRÁCTICASCLINICASI9607,Grado-en-Ingeniería-Electrónica,Septiembre,2018/2019,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1839,Visión por Computador,0.29,No presentado,VISIÓNPORCOMPUTADOR9971,Grado-en-Ingeniería-Electrónica,Junio,2018/2019,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1840,Ingeniería Térmica,1.18,No presentado,INGENIERÍATÉRMICA8094,Grado-en-Ingeniería-Electrónica,Julio,2019/2020,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1841,Sistemas Robotizados,4.71,Suspenso,SISTEMASROBOTIZADOS9138,Grado-en-Ingeniería-Electrónica,Septiembre,2019/2020,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1842,Organización y Gestión Empresarial,7.24,Aprobado,ORGANIZACIÓNYGESTIÓNEMPRESARIAL4001,Grado-en-Ingeniería-Electrónica,Junio,2019/2020,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1843,Enfermería en Quirófano,2.34,No presentado,ENFERMERÍAENQUIRÓFANO9633,Grado-en-Ingeniería-Electrónica,Septiembre,2019/2020,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1844,Métodos Estadísticos,3.09,No presentado,MÉTODOSESTADÍSTICOS7781,Grado-en-Ingeniería-Electrónica,Julio,2019/2020,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1845,Análisis de Sistemas Software,9.1,Aprobado,ANÁLISISDESISTEMASSOFTWARE4921,Grado-en-Ingeniería-Electrónica,Junio,2020/2021,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1846,Prácticas Clinicas I,5.94,Aprobado,PRÁCTICASCLINICASI7645,Grado-en-Ingeniería-Electrónica,Julio,2020/2021,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1847,Seguridad en Sistemas y Tecnologías Web,7.08,Aprobado,SEGURIDADENSISTEMASYTECNOLOGÍASWEB1655,Grado-en-Ingeniería-Electrónica,Junio,2020/2021,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1848,Diseño Arquitectónico y Patrones,9.86,Aprobado,DISEÑOARQUITECTÓNICOYPATRONES2270,Grado-en-Ingeniería-Electrónica,Septiembre,2020/2021,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1849,Ingeniería Fluidomecánica,2.01,No presentado,INGENIERÍAFLUIDOMECÁNICA9656,Grado-en-Ingeniería-Electrónica,Julio,2020/2021,qNptg#####,Plan 2018,Universidad de la Laguna,ULL015
1850,Electromagnetismo,9.69,Aprobado,ELECTROMAGNETISMO8522,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2017/2018,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1851,Teoría de la Señal,4.33,Suspenso,TEORÍADELASEÑAL5008,Grado-en-Ingeniería-de-Telecomunicaciones,Julio,2017/2018,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1852,Sistemas Digitales,7.18,Aprobado,SISTEMASDIGITALES7716,Grado-en-Ingeniería-de-Telecomunicaciones,Julio,2017/2018,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1853,Comunicaciones Ópticas,1.24,No presentado,COMUNICACIONESÓPTICAS1203,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2017/2018,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1854,Redes de Telecomunicaciones,0.14,No presentado,REDESDETELECOMUNICACIONES2710,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2017/2018,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1855,Electromagnetismo,6.29,Aprobado,ELECTROMAGNETISMO4731,Grado-en-Ingeniería-de-Telecomunicaciones,Septiembre,2018/2019,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1856,Teoría de la Señal,9.9,Aprobado,TEORÍADELASEÑAL9100,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2018/2019,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1857,Sistemas Digitales,3.76,No presentado,SISTEMASDIGITALES7463,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2018/2019,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1858,Comunicaciones Ópticas,5.91,Aprobado,COMUNICACIONESÓPTICAS4937,Grado-en-Ingeniería-de-Telecomunicaciones,Septiembre,2018/2019,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1859,Redes de Telecomunicaciones,0.27,No presentado,REDESDETELECOMUNICACIONES1081,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2018/2019,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1860,Electromagnetismo,0.84,No presentado,ELECTROMAGNETISMO5790,Grado-en-Ingeniería-de-Telecomunicaciones,Julio,2019/2020,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1861,Teoría de la Señal,8.22,Aprobado,TEORÍADELASEÑAL2709,Grado-en-Ingeniería-de-Telecomunicaciones,Junio,2019/2020,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1862,Sistemas Digitales,8.95,Aprobado,SISTEMASDIGITALES5622,Grado-en-Ingeniería-de-Telecomunicaciones,Septiembre,2019/2020,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1863,Comunicaciones Ópticas,5.36,Aprobado,COMUNICACIONESÓPTICAS8583,Grado-en-Ingeniería-de-Telecomunicaciones,Julio,2019/2020,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
1864,Redes de Telecomunicaciones,9.22,Aprobado,REDESDETELECOMUNICACIONES3628,Grado-en-Ingeniería-de-Telecomunicaciones,Julio,2019/2020,Hsisu#####,Plan 2018,Universidad de la Laguna,ULL015
